,id,submitter,authors,title,comments,journal-ref,doi,report-no,categories,license,versions,update_date,authors_parsed,publisher,published-print,published-online,reference-count,type,bibtex,subject,publication_type,field_of_study,refined_authors,refined_publication_title,resolved_venue,refined_venue,authors_with_gender,publication_year,journal_name,volume,issue,pages
21281,711.1971,Justin David R,Justin R. David,On the dyon partition function in N=2 theories,48 pages,"JHEP0802:025,2008",10.1088/1126-6708/2008/02/025,,hep-th,,"[{'version': 'v1', 'created': 'Tue, 13 Nov 2007 13:02:17 GMT'}]",2008-11-26,"[['David', 'Justin R.', '']]",,,,,,,,,High Energy Physics,Justin R David,On the dyon partition function in 𝒩 = 2 theories,Unknown,Unknown,Justin R David (male),2008,Journal of High Energy Physics,2008,02,025-025
102616,1001.3382,Eiji Konishi,Eiji Konishi,Modeling M-Theory Vacua via Gauged S-Duality,"31 pages, version reflecting the erratum. arXiv admin note:
  substantial text overlap with arXiv:1102.4608","Int.J.Mod.Phys.A26:4785-4816,2011;
  Int.J.Mod.Phys.A.27:1292003,2012",10.1142/S0217751X11054693,,hep-th,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"[{'version': 'v1', 'created': 'Tue, 19 Jan 2010 18:59:43 GMT'}, {'version': 'v10', 'created': 'Sun, 31 Jul 2011 14:26:18 GMT'}, {'version': 'v11', 'created': 'Fri, 11 Nov 2011 05:58:44 GMT'}, {'version': 'v12', 'created': 'Thu, 5 Apr 2012 01:02:01 GMT'}, {'version': 'v2', 'created': 'Wed, 20 Jan 2010 12:29:31 GMT'}, {'version': 'v3', 'created': 'Sun, 24 Jan 2010 01:34:13 GMT'}, {'version': 'v4', 'created': 'Mon, 15 Feb 2010 17:36:31 GMT'}, {'version': 'v5', 'created': 'Thu, 25 Mar 2010 13:20:58 GMT'}, {'version': 'v6', 'created': 'Mon, 31 May 2010 07:22:46 GMT'}, {'version': 'v7', 'created': 'Mon, 9 Aug 2010 03:10:24 GMT'}, {'version': 'v8', 'created': 'Mon, 23 Aug 2010 16:34:20 GMT'}, {'version': 'v9', 'created': 'Fri, 26 Nov 2010 20:45:36 GMT'}]",2015-05-18,"[['Konishi', 'Eiji', '']]",,,,,,,,,High Energy Physics,EIJI KONISHI,MODELING M-THEORY VACUA VIA GAUGED S-DUALITY,Unknown,Unknown,EIJI KONISHI (male),2011,International Journal of Modern Physics A,26,27n28,4785-4816
121054,1007.0229,Marcelo Kuperman,M. N. Kuperman,A model for the emergence of geopolitical division,,"Phil. Trans. R. Soc. A 2010 368, 5695-5706",10.1098/rsta.2010.0263,,nlin.AO,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"[{'version': 'v1', 'created': 'Thu, 1 Jul 2010 18:40:45 GMT'}]",2010-11-24,"[['Kuperman', 'M. N.', '']]",,,,,,,,,Nonlinear Sciences,M. N. Kuperman,A model for the emergence of geopolitical division,Unknown,Unknown,M. N. Kuperman (male),2010,"Philosophical Transactions of the Royal Society A: Mathematical, Physical and Engineering Sciences",368,1933,5695-5706
23046,711.4945,Hrachya Nersisyan,"H.B. Nersisyan, D.A. Osipyan and G. Zwicknagel","Renormalized cluster expansion of the microfield distribution in a
  strongly coupled two-component plasmas","17 pages, 10 figures, submitted to Physical Review E",,10.1103/PhysRevE.77.056409,,physics.plasm-ph,,"[{'version': 'v1', 'created': 'Fri, 30 Nov 2007 14:46:12 GMT'}]",2009-11-13,"[['Nersisyan', 'H. B.', ''], ['Osipyan', 'D. A.', ''], ['Zwicknagel', 'G.', '']]",,,,,,,,,Mathematics and Computer Science,"H. B. Nersisyan, D. A. Osipyan, G. Zwicknagel",Renormalized cluster expansion of the microfield distribution in strongly coupled two-component plasmas,Unknown,Unknown,"H. B. Nersisyan (male), D. A. Osipyan (male), G. Zwicknagel (male)",2008,Physical Review E,77,5,
69809,903.2896,Myung Joon Han,Myung Joon Han and Sergey Y. Savrasov,"Doping Driven ($\pi, 0$) Nesting and Magnetic Properties of Fe$_{1+x}$Te
  Superconductors",Table updated and discussion included,"Phys. Rev. Lett. 103, 067001 (2009)",10.1103/PhysRevLett.103.067001,,cond-mat.supr-con cond-mat.mtrl-sci,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"[{'version': 'v1', 'created': 'Tue, 17 Mar 2009 03:00:51 GMT'}, {'version': 'v2', 'created': 'Tue, 7 Apr 2009 01:07:05 GMT'}]",2009-08-05,"[['Han', 'Myung Joon', ''], ['Savrasov', 'Sergey Y.', '']]",,,,,,,,,Condensed Matter Physics,"Myung Joon Han, Sergey Y. Savrasov","Doping Driven (<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mi>π</mml:mi></mml:math>, 0) Nesting and Magnetic Properties of<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:msub><mml:mi>Fe</mml:mi><mml:mrow><mml:mn>1</mml:mn><mml:mo>+</mml:mo><mml:mi>x</mml:mi></mml:mrow></mml:msub><mml:mi>Te</mml:mi></mml:math>Superconductors",Unknown,Unknown,"Myung Joon Han (female), Sergey Y. Savrasov (male)",2009,Physical Review Letters,103,6,
12874,708.2619,Kaustubh Priolkar,"P. A. Bhobe, K. R. Priolkar, P. R. Sarode","Factors influencing the Martensitic interactions in Ni50Mn35Sn15: An
  EXAFS study","20 pages, 9 figures",,10.1088/0953-8984/20/01/015219,,cond-mat.mtrl-sci,,"[{'version': 'v1', 'created': 'Mon, 20 Aug 2007 09:56:19 GMT'}]",2009-11-13,"[['Bhobe', 'P. A.', ''], ['Priolkar', 'K. R.', ''], ['Sarode', 'P. R.', '']]",,,,,,,,,Condensed Matter Physics,"P A Bhobe, K R Priolkar, P R Sarode",Factors influencing the martensitic transformation in Ni<sub>50</sub>Mn<sub>35</sub>Sn<sub>15</sub>: an EXAFS study,Unknown,Unknown,"P A Bhobe (male), K R Priolkar (male), P R Sarode (male)",2008,Journal of Physics: Condensed Matter,20,1,015219
114627,1005.1379,Koushik,"R. Koushik, Matthias Baenninger, Vijay Narayan, Subroto Mukerjee,
  Michael Pepper, Ian Farrer, David A. Ritchie and Arindam Ghosh","Evidence of gate-tunable topological excitations in two-dimensional
  electron systems",4 figures,"Phys. Rev. B 83, 085302 (2011)",10.1103/PhysRevB.83.085302,,cond-mat.mes-hall,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"[{'version': 'v1', 'created': 'Sun, 9 May 2010 10:17:45 GMT'}]",2012-03-27,"[['Koushik', 'R.', ''], ['Baenninger', 'Matthias', ''], ['Narayan', 'Vijay', ''], ['Mukerjee', 'Subroto', ''], ['Pepper', 'Michael', ''], ['Farrer', 'Ian', ''], ['Ritchie', 'David A.', ''], ['Ghosh', 'Arindam', '']]",,,,,,,,,Condensed Matter Physics,"R. Koushik, Matthias Baenninger, Vijay Narayan, Subroto Mukerjee, Michael Pepper, Ian Farrer, David A. Ritchie, Arindam Ghosh",Evidence of gate-tunable topological excitations in two-dimensional electron systems,Unknown,Unknown,"R. Koushik (female), Matthias Baenninger (male), Vijay Narayan (male), Subroto Mukerjee (male), Michael Pepper (male), Ian Farrer (male), David A. Ritchie (male), Arindam Ghosh (male)",2011,Physical Review B,83,8,
117636,1006.0483,Joseph Marsano,"Joseph Marsano, Natalia Saulina, Sakura Schafer-Nameki",A Note on G-Fluxes for F-theory Model Building,"41 pages + 2 appendices; v2 references added, typo in (2.14)
  corrected","JHEP 1011:088,2010",10.1007/JHEP11(2010)088,"EFI-10-13, NSF-KITP-10-073, PI-strings-186",hep-th,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"[{'version': 'v1', 'created': 'Wed, 2 Jun 2010 20:00:02 GMT'}, {'version': 'v2', 'created': 'Thu, 17 Mar 2011 19:28:32 GMT'}]",2011-03-18,"[['Marsano', 'Joseph', ''], ['Saulina', 'Natalia', ''], ['Schafer-Nameki', 'Sakura', '']]",,,,,,,,,High Energy Physics,"Joseph Marsano, Natalia Saulina, Sakura Schäfer-Nameki",A note on G-fluxes for F-theory model building,Unknown,Unknown,"Joseph Marsano (male), Natalia Saulina (female), Sakura Schäfer-Nameki (female)",2010,Journal of High Energy Physics,2010,11,
30321,802.2537,Louis Marchildon,Louis Marchildon,On relativistic elements of reality,"Clarifications, reference added; published version",Foundations of Physics 38 (2008) 804-17,10.1007/s10701-008-9238-9,,quant-ph,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"[{'version': 'v1', 'created': 'Mon, 18 Feb 2008 20:25:41 GMT'}, {'version': 'v2', 'created': 'Fri, 24 Oct 2008 11:48:36 GMT'}]",2009-11-13,"[['Marchildon', 'Louis', '']]",,,,,,,,,Quantum Physics,Louis Marchildon,On Relativistic Elements of Reality,Unknown,Unknown,Louis Marchildon (male),2008,Foundations of Physics,38,9,804-817
63847,901.2892,Benjamin Davidovitch,"Jiangshui Huang, Benny Davidovitch, Christian Santangelo, Thomas P.
  Russell, and Narayanan Menon",A smooth cascade of wrinkles at the edge of a floating elastic film,"4 pages, 4 figures",,10.1103/PhysRevLett.105.038302,,cond-mat.soft cond-mat.mtrl-sci nlin.PS,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"[{'version': 'v1', 'created': 'Mon, 19 Jan 2009 16:32:52 GMT'}]",2015-05-13,"[['Huang', 'Jiangshui', ''], ['Davidovitch', 'Benny', ''], ['Santangelo', 'Christian', ''], ['Russell', 'Thomas P.', ''], ['Menon', 'Narayanan', '']]",,,,,,,,,Condensed Matter Physics,"Jiangshui Huang, Benny Davidovitch, Christian D. Santangelo, Thomas P. Russell, Narayanan Menon",Smooth Cascade of Wrinkles at the Edge of a Floating Elastic Film,Unknown,Unknown,"Jiangshui Huang (male), Benny Davidovitch (male), Christian D. Santangelo (male), Thomas P. Russell (male), Narayanan Menon (male)",2010,Physical Review Letters,105,3,
28709,801.4916,Asish Kundu K,"Asish K. Kundu, V. Pralong, V. Caignaert, C. N. R. Rao, and B. Raveau","Enhancement of ferromagnetism by Co and Ni substitution in the
  perovskite LaBiMn2O6+d",27 pages including table and figures,"J. Mater. Chem. 17, 3347 (2007)",10.1039/b710990n,,cond-mat.mtrl-sci,,"[{'version': 'v1', 'created': 'Thu, 31 Jan 2008 19:18:20 GMT'}]",2008-02-01,"[['Kundu', 'Asish K.', ''], ['Pralong', 'V.', ''], ['Caignaert', 'V.', ''], ['Rao', 'C. N. R.', ''], ['Raveau', 'B.', '']]",,,,,,,,,Condensed Matter Physics,,Contents and Chemical Science,Unknown,Unknown, (unknown),2007,Journal of Materials Chemistry,17,31,3275
131297,1009.5913,Peter Babkevich,"P. Babkevich, D. Prabhakaran, C. D. Frost and A. T. Boothroyd","Magnetic spectrum of the two-dimensional antiferromagnet La2CoO4 studied
  by inelastic neutron scattering","8 pages, 7 figures","Phys. Rev. B 82, 184425 (2010)",10.1103/PhysRevB.82.184425,,cond-mat.str-el,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"[{'version': 'v1', 'created': 'Wed, 29 Sep 2010 15:28:01 GMT'}, {'version': 'v2', 'created': 'Thu, 25 Nov 2010 15:52:12 GMT'}]",2010-11-29,"[['Babkevich', 'P.', ''], ['Prabhakaran', 'D.', ''], ['Frost', 'C. D.', ''], ['Boothroyd', 'A. T.', '']]",,,,,,,,,Condensed Matter Physics,"P. Babkevich, D. Prabhakaran, C. D. Frost, A. T. Boothroyd","Magnetic spectrum of the two-dimensional antiferromagnet<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mrow><mml:msub><mml:mrow><mml:mtext>La</mml:mtext></mml:mrow><mml:mn>2</mml:mn></mml:msub><mml:msub><mml:mrow><mml:mtext>CoO</mml:mtext></mml:mrow><mml:mn>4</mml:mn></mml:msub></mml:mrow></mml:math>studied by inelastic neutron scattering",Unknown,Unknown,"P. Babkevich (male), D. Prabhakaran (male), C. D. Frost (female), A. T. Boothroyd (None)",2010,Physical Review B,82,18,
46823,807.5119,Marisol Alcantara Ortigoza,"Marisol Alc\'antara Ortigoza, Sergey Stolbov, Talat Rahman","Formation of Pt islets on facets of Ru nanoparticles: a first-principles
  study","9 figures, 1 tex file, bibliography in a bbl file",,10.1103/PhysRevB.78.195417,,cond-mat.mtrl-sci,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"[{'version': 'v1', 'created': 'Thu, 31 Jul 2008 17:40:30 GMT'}, {'version': 'v2', 'created': 'Fri, 10 Oct 2008 19:21:24 GMT'}]",2009-11-13,"[['Ortigoza', 'Marisol Alcántara', ''], ['Stolbov', 'Sergey', ''], ['Rahman', 'Talat', '']]",,,,,,,,,Condensed Matter Physics,"Marisol Alcántara Ortigoza, Sergey Stolbov, Talat S. Rahman",Formation of Pt islets on facets of Ru nanoparticles: First-principles study,Unknown,Unknown,"Marisol Alcántara Ortigoza (female), Sergey Stolbov (male), Talat S. Rahman (male)",2008,Physical Review B,78,19,
66291,902.1979,Artyom Yurov,A.V. Yurov and A.V. Astashenok,The linearization method and new classes of exact solutions in cosmology,7 pages,"Theor.Math.Phys.158:261-268,2009",10.1007/s11232-009-0021-7,,astro-ph.CO,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"[{'version': 'v1', 'created': 'Wed, 11 Feb 2009 20:44:03 GMT'}]",2009-12-04,"[['Yurov', 'A. V.', ''], ['Astashenok', 'A. V.', '']]",,,,,,,,,Astronomy and Astrophysics,"A. V. Yurov, A. V. Astashenok",The linearization method and new classes of exact solutions in cosmology,Unknown,Unknown,"A. V. Yurov (None), A. V. Astashenok (None)",2009,Theoretical and Mathematical Physics,158,2,262-269
28933,802.0311,Guendelman Eduardo I,E.I. Guendelman,Photon and Axion Splitting in an Inhomogeneous Magnetic Field,"9 pages, latex","Phys.Lett.B662:445-448,2008",10.1016/j.physletb.2008.03.050,,hep-th,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"[{'version': 'v1', 'created': 'Sun, 3 Feb 2008 22:39:24 GMT'}]",2010-10-27,"[['Guendelman', 'E. I.', '']]",,,,,,,,,High Energy Physics,E.I. Guendelman,Photon and axion splitting in an inhomogeneous magnetic field,Unknown,Unknown,E.I. Guendelman (None),2008,Physics Letters B,662,5,445-448
88490,909.2122,Jens Philipp Ronzheimer,"G. Theocharis, A. Weller, J. P. Ronzheimer, C. Gross, M. K.
  Oberthaler, P. G. Kevrekidis and D. J. Frantzeskakis",Multiple atomic dark solitons in cigar-shaped Bose-Einstein condensates,"17 pages, 11 figures","Phys. Rev. A 81, 063604 (2010)",10.1103/PhysRevA.81.063604,,quant-ph cond-mat.quant-gas nlin.PS,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"[{'version': 'v1', 'created': 'Fri, 11 Sep 2009 09:54:07 GMT'}]",2011-02-21,"[['Theocharis', 'G.', ''], ['Weller', 'A.', ''], ['Ronzheimer', 'J. P.', ''], ['Gross', 'C.', ''], ['Oberthaler', 'M. K.', ''], ['Kevrekidis', 'P. G.', ''], ['Frantzeskakis', 'D. J.', '']]",,,,,,,,,Quantum Physics,"G. Theocharis, A. Weller, J. P. Ronzheimer, C. Gross, M. K. Oberthaler, P. G. Kevrekidis, D. J. Frantzeskakis",Multiple atomic dark solitons in cigar-shaped Bose-Einstein condensates,Unknown,Unknown,"G. Theocharis (male), A. Weller (None), J. P. Ronzheimer (female), C. Gross (female), M. K. Oberthaler (male), P. G. Kevrekidis (male), D. J. Frantzeskakis (male)",2010,Physical Review A,81,6,
103897,1002.0085,Beni Yoshida,"Beni Yoshida, Isaac L. Chuang",Framework for classifying logical operators in stabilizer codes,"20 pages, 9 figures","Phys. Rev. A 81, 052302 (2010)",10.1103/PhysRevA.81.052302,,quant-ph cond-mat.str-el,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"[{'version': 'v1', 'created': 'Sat, 30 Jan 2010 20:01:38 GMT'}]",2010-10-19,"[['Yoshida', 'Beni', ''], ['Chuang', 'Isaac L.', '']]",,,,,,,,,Quantum Physics,"Beni Yoshida, Isaac L. Chuang",Framework for classifying logical operators in stabilizer codes,Unknown,Unknown,"Beni Yoshida (male), Isaac L. Chuang (male)",2010,Physical Review A,81,5,
20038,710.5823,Eef van Beveren,Eef van Beveren and George Rupp,The complex relation between production and scattering amplitudes,4 pages plain LaTeX,"Europhys.Lett.81:61002,2008",10.1209/0295-5075/81/61002,,hep-ph,,"[{'version': 'v1', 'created': 'Wed, 31 Oct 2007 09:28:39 GMT'}]",2008-11-26,"[['van Beveren', 'Eef', ''], ['Rupp', 'George', '']]",,,,,,,,,High Energy Physics,"E. van Beveren, G. Rupp",The complex relation between production and scattering amplitudes,Unknown,Unknown,"E. van Beveren (None), G. Rupp (male)",2008,EPL (Europhysics Letters),81,6,61002
103682,1001.5212,Tom\'a\v{s} Brauner,Tomas Brauner,"Spontaneous Symmetry Breaking and Nambu-Goldstone Bosons in Quantum
  Many-Body Systems","49 pages, 2 pdf figures; v2: short discussion of pseudo-NG bosons and
  some references added + other minor corrections, version to be published","Symmetry 2: 609-657, 2010",10.3390/sym2020609,,hep-th cond-mat.quant-gas cond-mat.str-el hep-ph nucl-th,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"[{'version': 'v1', 'created': 'Thu, 28 Jan 2010 16:37:44 GMT'}, {'version': 'v2', 'created': 'Tue, 6 Apr 2010 22:02:04 GMT'}]",2015-03-13,"[['Brauner', 'Tomas', '']]",,,,,,,,,High Energy Physics,Tomáš Brauner,Spontaneous Symmetry Breaking and Nambu–Goldstone Bosons in Quantum Many-Body Systems,Symmetry,Unknown,Tomáš Brauner (male),2010,Symmetry,2,2,609-657
105571,1002.2948,Alex Kim,"A. Kim, A. Bonissent, J. L. Christiansen, A. Ealet, L. Faccioli, L.
  Gladney, G. Kushner, E. Linder, C. Stoughton, L. Wang",Prospective Type Ia Supernova Surveys From Dome A,"10 pages, 10 figures, accepted for publication in Astroparticle
  Physics","Astropart.Phys.33:248-254,2010",10.1016/j.astropartphys.2010.02.004,,astro-ph.CO,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"[{'version': 'v1', 'created': 'Mon, 15 Feb 2010 21:00:20 GMT'}]",2010-04-22,"[['Kim', 'A.', ''], ['Bonissent', 'A.', ''], ['Christiansen', 'J. L.', ''], ['Ealet', 'A.', ''], ['Faccioli', 'L.', ''], ['Gladney', 'L.', ''], ['Kushner', 'G.', ''], ['Linder', 'E.', ''], ['Stoughton', 'C.', ''], ['Wang', 'L.', '']]",,,,,,,,,Astronomy and Astrophysics,"A. Kim, A. Bonissent, J.L. Christiansen, A. Ealet, L. Faccioli, L. Gladney, G. Kushner, E. Linder, C. Stoughton, L. Wang",Prospective Type Ia supernova surveys from Dome A,Unknown,Unknown,"A. Kim (None), A. Bonissent (None), J.L. Christiansen (None), A. Ealet (None), L. Faccioli (None), L. Gladney (None), G. Kushner (male), E. Linder (None), C. Stoughton (female), L. Wang (None)",2010,Astroparticle Physics,33,4,248-254
125179,1008.1397,Shelly Garion,"Tatiana Bandman, Shelly Garion and Fritz Grunewald","On the Surjectivity of Engel Words on PSL(2,q)","v2: 25 pages, minor changes, accepted to the Journal of Groups,
  Geometry and Dynamics","Groups, Geometry and Dynamics 6 (2012), 409-439",10.4171/GGD/162,,math.GR math.AG math.DS,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"[{'version': 'v1', 'created': 'Sun, 8 Aug 2010 09:53:03 GMT'}, {'version': 'v2', 'created': 'Wed, 8 Jun 2011 18:58:18 GMT'}]",2012-10-23,"[['Bandman', 'Tatiana', ''], ['Garion', 'Shelly', ''], ['Grunewald', 'Fritz', '']]",,,,,,,,,Mathematics and Computer Science,"Tatiana Bandman, Shelly Garion, Fritz Grunewald","On the surjectivity of Engel words on PSL(2,$q$)",Unknown,Unknown,"Tatiana Bandman (female), Shelly Garion (female), Fritz Grunewald (male)",2012,"Groups, Geometry, and Dynamics",6,3,409-439
66387,902.2135,David Baraglia,David Baraglia,"Moduli of Coassociative Submanifolds and Semi-Flat Coassociative
  Fibrations","25 pages, added section on global aspects","Journal of Geometry and Physics 60 (2010), pp. 1903-1918",10.1016/j.geomphys.2010.07.006,,math.DG,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"[{'version': 'v1', 'created': 'Thu, 12 Feb 2009 15:42:02 GMT'}, {'version': 'v2', 'created': 'Tue, 9 Feb 2010 04:13:39 GMT'}]",2010-08-30,"[['Baraglia', 'David', '']]",,,,,,,,,Mathematics and Computer Science,D. Baraglia,"Moduli of coassociative submanifolds and semi-flat <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" altimg=""si1.gif"" display=""inline"" overflow=""scroll""><mml:msub><mml:mrow><mml:mi>G</mml:mi></mml:mrow><mml:mrow><mml:mn>2</mml:mn></mml:mrow></mml:msub></mml:math>-manifolds",Unknown,Unknown,D. Baraglia (male),2010,Journal of Geometry and Physics,60,12,1903-1918
87821,909.0979,Khristo N. Boyadzhiev,Khristo N. Boyadzhiev,"Exponential Polynomials, Stirling Numbers,and Evaluation of Some Gamma
  Integrals",Updated January 2010,"Abstract and Applied Analysis, Volume 2009, Article ID 168672
  (electronic)",10.1155/2009/168672,,math.CA math.CO,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"[{'version': 'v1', 'created': 'Fri, 4 Sep 2009 23:20:15 GMT'}, {'version': 'v2', 'created': 'Sat, 19 Sep 2009 00:03:05 GMT'}, {'version': 'v3', 'created': 'Sat, 7 Nov 2009 03:01:17 GMT'}, {'version': 'v4', 'created': 'Wed, 10 Mar 2010 01:11:07 GMT'}]",2016-10-10,"[['Boyadzhiev', 'Khristo N.', '']]",,,,,,,,,Mathematics and Computer Science,Khristo N. Boyadzhiev,"Exponential Polynomials, Stirling Numbers, and Evaluation of Some Gamma Integrals",Unknown,Unknown,Khristo N. Boyadzhiev (male),2009,Abstract and Applied Analysis,2009,,1-18
103889,1002.0071,Dieter Lutz,"D. Lutz, V. Mainieri, D. Rafferty, L. Shao, G. Hasinger, A. Weiss, F.
  Walter, I. Smail, D.M. Alexander, W.N. Brandt, S. Chapman, K. Coppin, N.M.
  Forster Schreiber, E. Gawiser, R. Genzel, T.R. Greve, R.J. Ivison, A.M.
  Koekemoer, P. Kurczynski, K.M. Menten, R. Nordon, P. Popesso, E. Schinnerer,
  J.D. Silverman, J. Wardlow, Y.Q. Xue","The LABOCA survey of the Extended Chandra Deep Field South: Two modes of
  star formation in AGN hosts?","39 manuscript pages, 6 figures, accepted for publication in ApJ (no
  changes to text wrt v1)",,10.1088/0004-637X/712/2/1287,,astro-ph.CO,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"[{'version': 'v1', 'created': 'Sat, 30 Jan 2010 15:22:19 GMT'}, {'version': 'v2', 'created': 'Mon, 22 Feb 2010 07:18:13 GMT'}]",2015-05-18,"[['Lutz', 'D.', ''], ['Mainieri', 'V.', ''], ['Rafferty', 'D.', ''], ['Shao', 'L.', ''], ['Hasinger', 'G.', ''], ['Weiss', 'A.', ''], ['Walter', 'F.', ''], ['Smail', 'I.', ''], ['Alexander', 'D. M.', ''], ['Brandt', 'W. N.', ''], ['Chapman', 'S.', ''], ['Coppin', 'K.', ''], ['Schreiber', 'N. M. Forster', ''], ['Gawiser', 'E.', ''], ['Genzel', 'R.', ''], ['Greve', 'T. R.', ''], ['Ivison', 'R. J.', ''], ['Koekemoer', 'A. M.', ''], ['Kurczynski', 'P.', ''], ['Menten', 'K. M.', ''], ['Nordon', 'R.', ''], ['Popesso', 'P.', ''], ['Schinnerer', 'E.', ''], ['Silverman', 'J. D.', ''], ['Wardlow', 'J.', ''], ['Xue', 'Y. Q.', '']]",,,,,,,,,Astronomy and Astrophysics,"D. Lutz, V. Mainieri, D. Rafferty, L. Shao, G. Hasinger, A. Weiß, F. Walter, I. Smail, D. M. Alexander, W. N. Brandt, S. Chapman, K. Coppin, N. M. Förster Schreiber, E. Gawiser, R. Genzel, T. R. Greve, R. J. Ivison, A. M. Koekemoer, P. Kurczynski, K. M. Menten, R. Nordon, P. Popesso, E. Schinnerer, J. D. Silverman, J. Wardlow, Y. Q. Xue",THE LABOCA SURVEY OF THE EXTENDED CHANDRA DEEP FIELD SOUTH: TWO MODES OF STAR FORMATION IN ACTIVE GALACTIC NUCLEUS HOSTS?,Unknown,Unknown,"D. Lutz (male), V. Mainieri (female), D. Rafferty (male), L. Shao (None), G. Hasinger (male), A. Weiß (None), F. Walter (None), I. Smail (None), D. M. Alexander (male), W. N. Brandt (male), S. Chapman (female), K. Coppin (male), N. M. Förster Schreiber (female), E. Gawiser (None), R. Genzel (female), T. R. Greve (male), R. J. Ivison (female), A. M. Koekemoer (None), P. Kurczynski (male), K. M. Menten (male), R. Nordon (female), P. Popesso (male), E. Schinnerer (None), J. D. Silverman (female), J. Wardlow (female), Y. Q. Xue (None)",2010,The Astrophysical Journal,712,2,1287-1301
40550,806.0297,Michael Andersen I,R. Mirzoyan and M.I. Andersen,A 15 deg Wide Field of View Imaging Air Cherenkov Telescope,"12 pages, 5 figures, accepted for publication in Astroparticle
  Physics","Astropart.Phys.31:1-5,2009",10.1016/j.astropartphys.2008.10.008,,astro-ph,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"[{'version': 'v1', 'created': 'Mon, 2 Jun 2008 14:48:30 GMT'}, {'version': 'v2', 'created': 'Thu, 30 Oct 2008 21:09:45 GMT'}]",2011-06-08,"[['Mirzoyan', 'R.', ''], ['Andersen', 'M. I.', '']]",,,,,,,,,Astronomy and Astrophysics,"R MIRZOYAN, M ANDERSEN",A 15° wide field of view imaging air Cherenkov telescope,Unknown,Unknown,"R MIRZOYAN (male), M ANDERSEN (female)",2009,Astroparticle Physics,31,1,1-5
147804,1102.2436,Dai Takei,"D. Takei, J.-U. Ness, M. Tsujimoto, S. Kitamoto, J. J. Drake, J. P.
  Osborne, H. Takahashi, and K. Kinugasa",X-ray Study of Rekindled Accretion in the Classical Nova V2491 Cygni,"Accepted for publication in PASJ (11 pages, 5 figures, 3 tables)",,10.1093/pasj/63.sp3.S729,,astro-ph.HE astro-ph.SR,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"[{'version': 'v1', 'created': 'Fri, 11 Feb 2011 21:00:01 GMT'}]",2015-05-27,"[['Takei', 'D.', ''], ['Ness', 'J. -U.', ''], ['Tsujimoto', 'M.', ''], ['Kitamoto', 'S.', ''], ['Drake', 'J. J.', ''], ['Osborne', 'J. P.', ''], ['Takahashi', 'H.', ''], ['Kinugasa', 'K.', '']]",,,,,,,,,Astronomy and Astrophysics,"Dai Takei, Jan-Uwe Ness, Masahiro Tsujimoto, Shunji Kitamoto, Jeremy J. Drake, Julian P. Osborne, Hiromitsu Takahashi, Kenzo Kinugasa",X-Ray Study of Rekindled Accretion in the Classical Nova V2491 Cygni,Unknown,Unknown,"Dai Takei (male), Jan-Uwe Ness (male), Masahiro Tsujimoto (male), Shunji Kitamoto (male), Jeremy J. Drake (male), Julian P. Osborne (male), Hiromitsu Takahashi (male), Kenzo Kinugasa (male)",2011,Publications of the Astronomical Society of Japan,63,sp3,S729-S738
